SUPPLIER_NAME,BUSINESS_PARTNER_ID,MATERIAL_GROUP,DATA_VERSION
Atlas Network Partners 004,BP-000084,RC1403,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1403,synthetic-2026-04-01
Element Fabrication Partners 013,BP-001706,RC1403,synthetic-2026-04-01
Beacon Facilities Partners 014,BP-001212,RC1402,synthetic-2026-04-01
Ion Logistics Partners 007,BP-002076,RC1402,synthetic-2026-04-01
Lumen Materials Partners 009,BP-000083,RC1403,synthetic-2026-04-01
Lumen Fabrication Partners 004,BP-002090,RC1402,synthetic-2026-04-01
Harbor Logistics Partners 012,BP-000024,RC1403,synthetic-2026-04-01
Beacon Logistics Partners 010,BP-000036,RC1403,synthetic-2026-04-01
Crest Fabrication Partners 001,BP-001911,RC1402,synthetic-2026-04-01
Atlas Network Partners 004,BP-000084,RC1402,synthetic-2026-04-01
Juniper Industrial Partners 016,BP-001371,RC1202,synthetic-2026-04-01
Crest Energy Partners 005,BP-001478,RC1204,synthetic-2026-04-01
Juniper Industrial Partners 016,BP-001371,RC1202,synthetic-2026-04-01
Atlas Industrial Partners 007,BP-002083,RC1202,synthetic-2026-04-01
Keystone Network Partners 009,BP-001355,RC1204,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1204,synthetic-2026-04-01
Atlas Systems Partners 011,BP-000197,RC1211,synthetic-2026-04-01
Juniper Industrial Partners 016,BP-001371,RC1211,synthetic-2026-04-01
Beacon Digital Partners 011,BP-001485,RC1202,synthetic-2026-04-01
Forge Materials Partners 004,BP-001296,RC1204,synthetic-2026-04-01
Atlas Industrial Partners 007,BP-002083,RC1211,synthetic-2026-04-01
Beacon Digital Partners 011,BP-001485,RC1204,synthetic-2026-04-01
Forge Materials Partners 017,BP-000230,RC1202,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1202,synthetic-2026-04-01
Juniper Advisory Partners 004,BP-001225,RC1204,synthetic-2026-04-01
Crest Network Partners 003,BP-001279,RC1212,synthetic-2026-04-01
Forge Materials Partners 004,BP-001296,RC1204,synthetic-2026-04-01
Delta Fabrication Partners 015,BP-001308,RC1211,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1202,synthetic-2026-04-01
Forge Fabrication Partners 012,BP-002061,RC1202,synthetic-2026-04-01
Atlas Digital Partners 013,BP-001612,RC1202,synthetic-2026-04-01
Atlas Materials Partners 014,BP-001411,RC1204,synthetic-2026-04-01
Harbor Systems Partners 016,BP-001313,RC1211,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1204,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Keystone Digital Partners 003,BP-001611,RC1204,synthetic-2026-04-01
Juniper Industrial Partners 016,BP-001371,RC1211,synthetic-2026-04-01
Lumen Industrial Partners 014,BP-001335,RC1211,synthetic-2026-04-01
Ion Logistics Partners 011,BP-000624,RC1202,synthetic-2026-04-01
Crest Materials Partners 015,BP-001305,RC1202,synthetic-2026-04-01
Ion Systems Partners 002,BP-001331,RC1202,synthetic-2026-04-01
Forge Materials Partners 004,BP-001296,RC1202,synthetic-2026-04-01
Atlas Logistics Partners 001,BP-001249,RC1304,synthetic-2026-04-01
Ion Logistics Partners 001,BP-001408,RC1304,synthetic-2026-04-01
Crest Industrial Partners 003,BP-001523,RC1212,synthetic-2026-04-01
Keystone Digital Partners 001,BP-000477,RC1304,synthetic-2026-04-01
Lumen Digital Partners 009,BP-001336,RC1211,synthetic-2026-04-01
Juniper Industrial Partners 014,BP-000149,RC1202,synthetic-2026-04-01
Keystone Network Partners 012,BP-001740,RC1202,synthetic-2026-04-01
Atlas Digital Partners 017,BP-001859,RC1211,synthetic-2026-04-01
Element Digital Partners 003,BP-000996,RC1202,synthetic-2026-04-01
Harbor Fabrication Partners 014,BP-001422,RC1202,synthetic-2026-04-01
Lumen Fabrication Partners 001,BP-001433,RC1211,synthetic-2026-04-01
Atlas Systems Partners 008,BP-001601,RC1211,synthetic-2026-04-01
Keystone Industrial Partners 002,BP-001255,RC1211,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1211,synthetic-2026-04-01
Delta Fabrication Partners 016,BP-001632,RC1202,synthetic-2026-04-01
Granite Advisory Partners 007,BP-000831,RC1202,synthetic-2026-04-01
Crest Network Partners 007,BP-001361,RC1202,synthetic-2026-04-01
Juniper Industrial Partners 016,BP-001371,RC1211,synthetic-2026-04-01
Atlas Energy Partners 012,BP-001819,RC1202,synthetic-2026-04-01
Granite Facilities Partners 016,BP-001759,RC1212,synthetic-2026-04-01
Atlas Logistics Partners 001,BP-001249,RC1202,synthetic-2026-04-01
Atlas Fabrication Partners 010,BP-000443,RC1212,synthetic-2026-04-01
Lumen Advisory Partners 001,BP-001251,RC1212,synthetic-2026-04-01
Beacon Digital Partners 011,BP-001485,RC1212,synthetic-2026-04-01
Lumen Systems Partners 010,BP-000645,RC1211,synthetic-2026-04-01
Keystone Network Partners 016,BP-001321,RC1204,synthetic-2026-04-01
Forge Materials Partners 017,BP-000230,RC1211,synthetic-2026-04-01
Forge Fabrication Partners 012,BP-002061,RC1211,synthetic-2026-04-01
Lumen Facilities Partners 003,BP-000529,RC1211,synthetic-2026-04-01
Forge Advisory Partners 005,BP-001637,RC1202,synthetic-2026-04-01
Atlas Advisory Partners 014,BP-000143,RC1202,synthetic-2026-04-01
Crest Energy Partners 007,BP-001201,RC1202,synthetic-2026-04-01
Juniper Systems Partners 013,BP-001283,RC1202,synthetic-2026-04-01
Ion Energy Partners 010,BP-001119,RC1211,synthetic-2026-04-01
Juniper Digital Partners 013,BP-000527,RC1202,synthetic-2026-04-01
Keystone Logistics Partners 009,BP-001489,RC1204,synthetic-2026-04-01
Ion Network Partners 008,BP-001346,RC1204,synthetic-2026-04-01
Crest Systems Partners 007,BP-001356,RC1204,synthetic-2026-04-01
Atlas Systems Partners 015,BP-000048,RC1202,synthetic-2026-04-01
Juniper Advisory Partners 007,BP-001573,RC1211,synthetic-2026-04-01
Ion Systems Partners 002,BP-001638,RC1202,synthetic-2026-04-01
Ion Network Partners 002,BP-001634,RC1202,synthetic-2026-04-01
Juniper Facilities Partners 005,BP-000776,RC1202,synthetic-2026-04-01
Ion Digital Partners 007,BP-001595,RC1204,synthetic-2026-04-01
Atlas Facilities Partners 013,BP-001494,RC1204,synthetic-2026-04-01
Granite Digital Partners 001,BP-001299,RC1212,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1211,synthetic-2026-04-01
Beacon Industrial Partners 012,BP-002102,RC1211,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1211,synthetic-2026-04-01
Ion Logistics Partners 014,BP-001405,RC1204,synthetic-2026-04-01
Lumen Fabrication Partners 014,BP-000261,RC1104,synthetic-2026-04-01
Granite Systems Partners 007,BP-000572,RC1104,synthetic-2026-04-01
Beacon Digital Partners 016,BP-001968,RC1104,synthetic-2026-04-01
Harbor Network Partners 014,BP-000861,RC1104,synthetic-2026-04-01
Forge Logistics Partners 004,BP-000141,RC1104,synthetic-2026-04-01
Element Industrial Partners 005,BP-000195,RC1201,synthetic-2026-04-01
Crest Network Partners 014,BP-001602,RC1104,synthetic-2026-04-01
Ion Advisory Partners 015,BP-000267,RC1104,synthetic-2026-04-01
Crest Network Partners 001,BP-000335,RC1104,synthetic-2026-04-01
Granite Systems Partners 007,BP-000572,RC1201,synthetic-2026-04-01
Granite Network Partners 003,BP-001443,RC1104,synthetic-2026-04-01
Forge Systems Partners 004,BP-001374,RC1104,synthetic-2026-04-01
Beacon Industrial Partners 012,BP-002102,RC1205,synthetic-2026-04-01
Keystone Network Partners 001,BP-000708,RC1202,synthetic-2026-04-01
Forge Industrial Partners 006,BP-001236,RC1202,synthetic-2026-04-01
Crest Digital Partners 006,BP-000834,RC1202,synthetic-2026-04-01
Ion Facilities Partners 008,BP-002088,RC1202,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Forge Logistics Partners 015,BP-001131,RC1202,synthetic-2026-04-01
Keystone Industrial Partners 014,BP-001011,RC1202,synthetic-2026-04-01
Lumen Fabrication Partners 016,BP-001831,RC1202,synthetic-2026-04-01
Granite Network Partners 011,BP-001379,RC1202,synthetic-2026-04-01
Atlas Energy Partners 013,BP-000447,RC1202,synthetic-2026-04-01
Element Energy Partners 004,BP-001199,RC1202,synthetic-2026-04-01
Beacon Facilities Partners 011,BP-000082,RC1202,synthetic-2026-04-01
Crest Facilities Partners 002,BP-001704,RC1202,synthetic-2026-04-01
Lumen Advisory Partners 001,BP-001251,RC1202,synthetic-2026-04-01
Granite Logistics Partners 005,BP-001598,RC1202,synthetic-2026-04-01
Element Network Partners 005,BP-001233,RC1202,synthetic-2026-04-01
Ion Facilities Partners 017,BP-000676,RC1202,synthetic-2026-04-01
Delta Systems Partners 013,BP-001917,RC1202,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Forge Energy Partners 016,BP-001924,RC1202,synthetic-2026-04-01
Harbor Logistics Partners 005,BP-001121,RC1202,synthetic-2026-04-01
Lumen Energy Partners 009,BP-000800,RC1202,synthetic-2026-04-01
Granite Industrial Partners 009,BP-001177,RC1202,synthetic-2026-04-01
Keystone Fabrication Partners 001,BP-001176,RC1202,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1202,synthetic-2026-04-01
Ion Fabrication Partners 007,BP-001479,RC1205,synthetic-2026-04-01
Crest Industrial Partners 015,BP-001493,RC1205,synthetic-2026-04-01
Juniper Logistics Partners 013,BP-001871,RC1205,synthetic-2026-04-01
Ion Energy Partners 009,BP-001843,RC1205,synthetic-2026-04-01
Atlas Energy Partners 013,BP-000447,RC1205,synthetic-2026-04-01
Forge Digital Partners 014,BP-001695,RC1205,synthetic-2026-04-01
Beacon Digital Partners 011,BP-001485,RC1205,synthetic-2026-04-01
Juniper Materials Partners 014,BP-001332,RC1301,synthetic-2026-04-01
Juniper Facilities Partners 017,BP-002093,RC1301,synthetic-2026-04-01
Juniper Network Partners 001,BP-001072,RC1301,synthetic-2026-04-01
Crest Materials Partners 004,BP-001953,RC1301,synthetic-2026-04-01
Atlas Energy Partners 002,BP-000206,RC1301,synthetic-2026-04-01
Ion Energy Partners 005,BP-002052,RC1106,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1301,synthetic-2026-04-01
Beacon Energy Partners 012,BP-001391,RC1301,synthetic-2026-04-01
Crest Facilities Partners 002,BP-001704,RC1301,synthetic-2026-04-01
Element Network Partners 009,BP-001370,RC1301,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1301,synthetic-2026-04-01
Juniper Materials Partners 011,BP-001957,RC1301,synthetic-2026-04-01
Juniper Logistics Partners 010,BP-001844,RC1301,synthetic-2026-04-01
Beacon Industrial Partners 014,BP-000650,RC1301,synthetic-2026-04-01
Keystone Materials Partners 014,BP-000199,RC1301,synthetic-2026-04-01
Beacon Industrial Partners 012,BP-002102,RC1301,synthetic-2026-04-01
Delta Fabrication Partners 012,BP-001628,RC1301,synthetic-2026-04-01
Forge Materials Partners 002,BP-000750,RC1301,synthetic-2026-04-01
Granite Facilities Partners 009,BP-001194,RC1301,synthetic-2026-04-01
Beacon Digital Partners 008,BP-001184,RC1301,synthetic-2026-04-01
Granite Digital Partners 009,BP-000906,RC1301,synthetic-2026-04-01
Harbor Materials Partners 015,BP-001307,RC1301,synthetic-2026-04-01
Ion Advisory Partners 007,BP-001345,RC1301,synthetic-2026-04-01
Atlas Facilities Partners 015,BP-001362,RC1301,synthetic-2026-04-01
Ion Facilities Partners 012,BP-000408,RC1301,synthetic-2026-04-01
Crest Facilities Partners 009,BP-001726,RC1301,synthetic-2026-04-01
Atlas Systems Partners 008,BP-001601,RC1301,synthetic-2026-04-01
Delta Fabrication Partners 014,BP-001642,RC1301,synthetic-2026-04-01
Harbor Logistics Partners 004,BP-001562,RC1301,synthetic-2026-04-01
Keystone Logistics Partners 007,BP-000168,RC1204,synthetic-2026-04-01
Atlas Advisory Partners 015,BP-001420,RC1204,synthetic-2026-04-01
Delta Materials Partners 016,BP-001772,RC1204,synthetic-2026-04-01
Harbor Facilities Partners 002,BP-001263,RC1204,synthetic-2026-04-01
Beacon Digital Partners 011,BP-001485,RC1204,synthetic-2026-04-01
Forge Materials Partners 004,BP-001296,RC1204,synthetic-2026-04-01
Crest Logistics Partners 010,BP-001364,RC1204,synthetic-2026-04-01
Delta Digital Partners 016,BP-001268,RC1204,synthetic-2026-04-01
Crest Energy Partners 008,BP-001337,RC1204,synthetic-2026-04-01
Ion Advisory Partners 011,BP-001460,RC1204,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1204,synthetic-2026-04-01
Lumen Energy Partners 016,BP-001648,RC1204,synthetic-2026-04-01
Forge Materials Partners 004,BP-001296,RC1204,synthetic-2026-04-01
Keystone Network Partners 009,BP-001355,RC1204,synthetic-2026-04-01
Beacon Energy Partners 013,BP-001548,RC1204,synthetic-2026-04-01
Atlas Industrial Partners 010,BP-000587,RC1204,synthetic-2026-04-01
Forge Advisory Partners 016,BP-001315,RC1204,synthetic-2026-04-01
Juniper Logistics Partners 013,BP-001871,RC1204,synthetic-2026-04-01
Lumen Industrial Partners 009,BP-001555,RC1204,synthetic-2026-04-01
Lumen Fabrication Partners 006,BP-001170,RC1204,synthetic-2026-04-01
Ion Advisory Partners 011,BP-001460,RC1204,synthetic-2026-04-01
Forge Network Partners 005,BP-001234,RC1204,synthetic-2026-04-01
Delta Fabrication Partners 015,BP-001308,RC1204,synthetic-2026-04-01
Ion Digital Partners 012,BP-001688,RC1205,synthetic-2026-04-01
Forge Materials Partners 017,BP-000230,RC1204,synthetic-2026-04-01
Delta Systems Partners 013,BP-001917,RC1212,synthetic-2026-04-01
Juniper Energy Partners 005,BP-001506,RC1204,synthetic-2026-04-01
Crest Energy Partners 008,BP-001337,RC1205,synthetic-2026-04-01
Juniper Facilities Partners 017,BP-002093,RC1204,synthetic-2026-04-01
Lumen Systems Partners 011,BP-000001,RC1205,synthetic-2026-04-01
Crest Materials Partners 004,BP-001953,RC1204,synthetic-2026-04-01
Beacon Digital Partners 001,BP-001265,RC1205,synthetic-2026-04-01
Element Facilities Partners 011,BP-001909,RC1205,synthetic-2026-04-01
Beacon Materials Partners 016,BP-001311,RC1205,synthetic-2026-04-01
Lumen Facilities Partners 001,BP-000494,RC1205,synthetic-2026-04-01
Atlas Logistics Partners 001,BP-001249,RC1205,synthetic-2026-04-01
Ion Fabrication Partners 015,BP-000743,RC1204,synthetic-2026-04-01
Granite Network Partners 016,BP-002011,RC1205,synthetic-2026-04-01
Harbor Fabrication Partners 015,BP-000505,RC1205,synthetic-2026-04-01
Lumen Advisory Partners 001,BP-001251,RC1205,synthetic-2026-04-01
Delta Fabrication Partners 015,BP-001308,RC1205,synthetic-2026-04-01
Beacon Network Partners 005,BP-001657,RC1205,synthetic-2026-04-01
Crest Materials Partners 004,BP-001953,RC1205,synthetic-2026-04-01
Ion Advisory Partners 008,BP-000088,RC1205,synthetic-2026-04-01
Harbor Fabrication Partners 005,BP-001232,RC1205,synthetic-2026-04-01
Forge Facilities Partners 004,BP-000218,RC1205,synthetic-2026-04-01
